address,cost,cuisine,name,rating,review
"
14 Christopher St
New York, NY 10014
(212) 367-2067
",4.0,Japanese,Omakase Room By Tatsu,7.7,"Tolerance for group trips can vary widely. Some people have an internal meltdown when a company bowling outing is so much as mentioned, while others might be the enthusiastic ringleaders of a family reunion taking place on a cruise ship. We’re skeptical of those people on the cruise ship wavelength, but we also know that doing things with other human beings in an organized manner can sometimes be a good thing.
Omakase Room By Tatsu is a sushi place that’s sort of like a group trip, but without flip flops and nametags and with absolutely zero screaming. At this quiet, below-ground spot in the West Village, you and nine other people will be asked to arrive at precisely 6, 7:30, or 9pm. In the 90 minutes that follow, the 10 of you will receive, almost in unison, 18 pieces of top-quality, simply prepared sushi. You’ll order some sake or wine of your own choosing, but otherwise, this is a sushi meal that follows a close script. Fortunately, the sushi is very good, and you won’t be disappointed in the dozen and a half pieces that get placed in front of you.
While the choreographed, carefully-timed production makes for a nice meal with no real flaws, the strict 90-minute time frame does add pressure, and doesn’t allow for much cushion to finish off your sake leisurely. For $145 before tax and tip, it can feel like a short evening that you’re a bit rushed out of. Especially when your coat is brought over as you’re paying the check.
Of course, in most ways, Omakase Room By Tatsu is absolutely nothing like a group trip. For one, it’s extremely quiet, and there’s no music playing. That, paired with the minimalist space, makes this restaurant feel like a place you should sit up straight, pay attention, and refrain from using curse words.
Omakase Room By Tatsu serves a traditional omakase sushi meal that sushi purists in particular will enjoy. And if someone is nice enough to invite you, you’re in for some expertly-prepared fish. But for the price, there are other places we’d be more likely to go back to for a dinner without the restrained time frame, which are a bit more suited to a celebratory occasion."
"
428 Greenwich St.
New York, NY 10013
212-274-0428
",4.0,Japanese,Sushi Azabu,8.5,"When the apocalypse eventually comes for New York City, you’re going to have to find a good basement to bunker down. If you had your pick, where would you go? The underground archives of The Met could be cool. Or the storage area of a Trader Joe’s might be a more strategic choice. Reality is, you’d probably end up in the basement of your own apartment or office building, clutching the water heater for emotional support.
But if we did have a choice of a basement to be stuck in, we’d pick Sushi Azabu.
Of course, plenty of restaurants and bars in NYC are located in basements, but this semi-hidden sushi spot in the quiet cobblestone part of Tribeca really has a particular underground feel. You do get the feeling that if nuclear winter finally started outside while you were eating a piece of fatty toro in Sushi Azabu, you might miss it.
Sushi Azabu serves one of the city’s best sushi omakase meals, and there are a few ways to go about eating here. You can sit at a table, where you can order things like a very good $68 nigiri set, or any number of pieces a la carte. But if you’re coming here, it should be for the experience of the omakase, at the bar. You can order this at a table too, but you’ll miss out on the interactions with the chef that add to the experience.The chef’s omakase is an impressive selection of incredible food that involves small appetizers, soup, sashimi pieces, a “toro tasting,” nigiri pieces, dessert, and a little dish in the middle called “grilled king crab with miso” that is one of the best single pieces of food we’ve eaten in recent memory. The sushi pieces here are good enough that you’ll find yourself wanting to write down the names of the fish in your Notes app, just to remember. They’re seasoned with things like a tiny bit of yuzu zest or a miniscule drop of chive paste, but mostly they highlight the freshness and quality of the fish and the skills of the chef.
At dinner, this costs $170 ($200 if you add an on an uni tasting, or $145 at lunch, during which you’ll also likely get even more of the chef’s attention). There’s also a nigiri-only version for $150, but it’s well worth paying up for the toro and the crab dish. When the bill comes, just tell yourself that maybe the world outside has ended and U.S. currency no longer has any value?Those prices, if it helps at all, also include service, which is excellent here. Upon realizing we were left-handed, a server moved our little hand wipe thing to the left side, and the friendly sushi chefs will also reach over to wipe down your platter regularly throughout the sushi part of the meal, so that each piece can shine.
By the time your meal finishes and you walk up the narrow staircase and back into the street and see that taxis and Tribeca strollers are passing you, you’ll be glad that the world is still intact, and that you can go tell someone about the sushi meal you just finished."
"
264 Clinton St
New York, NY 11201
(347) 987-3710
",3.0,Seafood,Saint Julivert Fisherie,7.7,"When you’re young, you don’t have to think much about your decisions. You just know you shouldn’t attempt the deep end until you’ve graduated from floaties, and you know it’s not worth going to the Yachty Or Naughty party in college if you didn’t go to the pregame. But when you get older, those easy decisions are replaced with existential dread over questions like “Should we move in together?,” “Should I get bangs?,” or “Should I go to that place for dinner tonight?” 
If “that place” is Saint Julivert Fisherie, we can make your decision easier. To enjoy a meal here, you should already love seafood, you should be interested in trying unusual wines, and you should be prepared to spend more money than you might expect in a place with exclusively backless stools.
Saint Julivert is the latest spot from the people behind El Quinto Pino, Txikito, and La Vara, the excellent Cobble Hill restaurant that happens to be right next door. The menu is mostly small-ish plates inspired by what you’d find in coastal areas around the world, ideally meant to be shared while working your way through the cocktail and wine list. If you’re already running low on vacation days for the year, this is a good opportunity to take a trip to Portugal, Spain, Mexico, and whatever landlocked state tuna casserole comes from, all in one dinner.That casserole comes in a big cast iron pan, and tastes like the kind of comfort you forget you can find in New York City. There’s also whipped mackerel, which turns out to be an extremely good thing to spread on grilled bread, ceviche that comes with fried saltines for scooping, and an excellent steak sandwich that you can opt to stuff with fried oysters. All of these dishes are examples of Saint Julivert at its best: when it’s a low-key place to eat unexpected but unfussy food. The wine menu is a tight list of esoteric options, categorized by the ocean closest to each vineyard, and at first it reads like a pop quiz you didn’t study for. But your anxiety symptoms will go away once you start chatting with the wine guy, who will pour you tastes as he tells you about the work trips that inspired his choices of reds from the Duoro and Manzanillas from Cadiz. Everyone needs work trips like his work trips.
But Saint Julivert doesn’t always feel as relaxed as we wish it did. On visits when we couldn’t find a friendly server to give us wine recommendations, and we ordered too many of the daintier dishes, the place came across more like a minimalist bar serving expensive, austere food. The hamachi collar tastes good, but it comes out alarmingly charred, like it got blown up on its way from the ocean to your plate. The bowl of posole has a ton of flavor, but too few shrimp considering it’s $21. The raw scallops are excellent, but there are only three of them, each served in a tiny shiso leaf, so you eat them like tacos that made cameos in Honey I Shrunk The Kids. The bar and high tops are all shiny silver, the lighting is a little fluorescent, and sometimes there’s no music, so it’s not impossible to feel like you’re eating a $24 half-avocado filled with crab in a very trendy doctor’s office. 
Those are the things you should be aware of before heading to Saint Julivert. You should also know that overall, we like this place a lot. If you’re looking for somewhere to catch up with your friend who would be excited about eating pickled wild shrimp and gooseneck barnacles, or you have an early-in-the-game date when you want to impress someone by casually ordering Spanish sherry, Saint Julivert is a great choice. You’ll have to decide for yourself about your bangs."
"
498 9th Ave
New York, NY 10018
(646) 863-2020
",2.0,Russian,Farida,8.0,"There’s a bleak, sweaty place on 34th Street where adults run 60-yard dashes to catch trains to Baltimore, Rangers fans wait in line to buy tallboys in paper bags, and children trip over their Frozen wheely suitcases while chasing indoor sparrows. It’s called Penn Station, and you probably try to avoid spending too much time there. But walk one block west and four blocks north, and you’ll find a little restaurant that feels about as different from that place as humanly possible. With its relaxed atmosphere and excellent Central Asian food, Farida is a spot you’ll actually want to hang out in.
Every angle of this small, one-room restaurant is decorated with murals or objects ranging from pistols in holsters to a portrait of a young girl in a snowy mountain setting petting a fawn. But watercolor animals aside, the best part of the room is the TV in the corner, where they’re constantly playing Uzbek music videos. It’s like Uzbek TRL, and you probably won’t be able to turn away.The menu has dishes from a few different cuisines, including Russian (pickled herring and borsht), Georgian (really good rice and lamb rib soup), and Uzbek (most of the rest of the food). If you’re not a meat-eater, you’ll be missing out on the best things here - namely the tender beef and lamb that come in soups, on swordlike skewers, and in the Uzbek plov (a rice pilaf dish we love). Everything is simply seasoned and presented, usually with some fresh dill on top, and most dishes come with chickpeas, pickled vegetables, and a piece of thick homemade bread on the side. You can’t really go wrong, but a general rule of thumb is that you shouldn’t come to Farida and not order the manti. These flat, circular dumplings come stuffed with either beef or pumpkin, and would make extremely nice throw pillows on an edible couch. 
You’re not going to find any ticket-holder-only waiting lounges (where no one checks tickets) or giant plastic-wrapped chocolate chip muffins here, but one similarity between Penn Station and Farida is that they’re both extremely casual. While you can’t quite go to Farida, use your suitcase as a chair, and read an issue of Us Weekly (a.k.a. the height of Penn Station elegance), you can show up here whenever, wearing anything from work clothes to gym clothes, and with concrete plans to spend no more than around $20.The last time you were in Penn Station, the most exciting things about the whole experience were the smell of someone else’s Shake Shack and the 20 minutes you spent thinking about how Amtrak should really have a “C.” But next time, you’ll go knowing there’s something nearby you can really look forward to - a spot with food so good you might decide to take the train to Baltimore more often."
"
541-B Myrtle Avenue
New York, NY 11205
(718) 857-0222
",2.0,Sushi,U-Gu,7.7,"New York is near an ocean with plenty of free fish just asking to be caught, so theoretically, we should have an abundance of affordable seafood. Unfortunately, that isn’t how life works, and great, not-crazy-expensive neighborhood sushi can feel like some kind of mythical beast. But unlike centaurs, hippogriffs, or any other creature invented by the horse-obsessed people of ancient times, this type of sushi does in fact exist. If you want proof, go to U-Gu. 
U-Gu is a Japanese restaurant in the bottom of a glass-and-steel building in Clinton Hill, and from the outside it looks like something you’d find in a strip mall next to a Cinnabon and a Lady Foot Locker. But it’s actually a charming little space where you’ll want to hang out, drink sake, and eat some high-quality seafood without having to bring a bribe-sized bag of cash.
You come here to eat either sushi or sashimi, and there are a few basic combos like a six-piece sushi set (for $18) and a $26 sashimi plate that comes with enough fish to feed a small porpoise. The pieces are large and taste like the fish equivalent of USDA Prime meat, the rice is warm and well-seasoned, and the selections aren’t limited to your basic tuna and yellowtail - you’ll get things like striped bass with shiso, a thick piece of salmon garnished with roasted red pepper, and unagi topped with a tiny fried quail egg. In addition to sushi, there are options like tuna tartare and salmon tataki, as well as some rice bowls and ramen - but you don’t really need to order those, because the sushi is better. If you do want to mix things up a bit, go for the $40 omakase, which comes with sushi, sashimi, and a few little dishes like diced toro in wasabi soy sauce.It’s an impressive meal, especially considering the fact that you could walk into U-Gu wearing pajama bottoms and a Henrik Lundqvist jersey and feel only slightly underdressed. This is a great place for a weeknight dinner with a couple of friends, and with its hardwood floors and abundance of old-timey light fixtures (over 30 by our count), it feels like a nice, vaguely-steampunk antique store. It’s also full of signs with phrases like “Be a warrior not a worrier” and “Dance like no one’s watching” - and if you pretend you’ve never heard these things before, you might even find them inspirational. 
You probably won’t, but that shouldn’t change your opinion of this place. Because even on a Saturday night, you can walk into U-Gu, get seated immediately, and have dinner for roughly the same price as a new hardcover book. In a city where seafood tends to be priced like it was shipped from Tokyo in the back of a gold-plated taxi with the meter running, that might seem improbable. But it’s true. The next time you’re in the area, take advantage."
"
324 Lafayette St.
New York, NY 10012
212-334-6400
",3.0,Spanish,Gato,7.3,"When some things change, they become unrecognizably different. Massive stars collapse into black holes, for example, and caterpillars turn into butterflies. Meanwhile, other things change in certain ways, but stay the same in others. The new iPhone has a better camera, but it still tries to connect you to random wifi networks five times a day. And Lebron James changes teams, but his hairline continues to recede all the same. Then there’s Gato, Bobby Flay’s Mediterranean spot in Noho. It still resembles its 2014 form in some ways, but the food isn’t nearly as good now as it was back then.
We’ll start with the things about Gato that haven’t changed. It’s still packed most nights, when the horseshoe bar and big, high-ceilinged dining room are filled with dates and groups of people who probably have strong opinions about the best and worst Equinox locations in city. The service is still great, with a server-to-customer ratio similar to the proportion of teachers to students at a Connecticut boarding school. The menu has also primarily remained the same, including mostly Mediterranean food ranging from bar snacks and appetizers like roasted octopus to pastas and entrees like a porterhouse pork chop over polenta.
And some of those dishes are still very enjoyable. There’s a mushroom paella with crispy but not burned rice, which isn’t dry at all due to some oily kale and a runny egg on top. There are also scrambled eggs. Think about the best eggs you’ve ever made, replace the Frank’s Red Hot and whatever bread was on sale on Fresh Direct with romesco sauce and cracker-thin slices of tomato confit toast, and you’ll get a sense for how good the soft, fluffy version here is. And no matter what else you order, make sure to get dessert. Things like blood orange cheesecake and an apple crostata with brown sugar gelato make coming here just for a nightcap a very reasonable option.But many other dishes on the menu are some combination of bland, too salty, and overpriced. The bar snacks, which are little more than your choice of three amuse-bouches for $21, include things like seared yellowtail that is both overcooked and served too cold, and a piquillo pepper filled with raw tuna that tastes like chilled, unflavored Jello. As for the larger plates, the fettuccine fra diavolo is a bit spicy and pretty tasty, but it’s $34 for a small pile of pasta topped with exactly two shrimp. The charred beef is a similarly small portion, and considering the price and size of the dish, it’s reasonable to expect some very high quality meat. And it may well be a premium cut, but there’s no way to tell because it’s topped with blue cheese so dominant it could be paired with wagyu or ground beef and taste about the same.
Gato used to be a celebrity chef restaurant with outstanding food. It’s certainly still a celebrity chef restaurant, but the quality has slipped. Now, we’d suggest you sit at the bar with a date and share some crispy potatoes, Spanish wine, and dessert. You might even spot Bobby Flay mingling around the space, but the food doesn’t taste like he’s the one cooking it anymore."
"
15 W 18th St
New York, NY 10011
",3.0,Greek,Kyma,7.3,"Around the time Kyma opened, we heard that Billy Joel had dinner there. And that makes perfect sense for several reasons. First off, the original Kyma is on Long Island, which happens to be the longtime home of Billy Joel. This Greek restaurant in Flatiron is also a little more expensive than we’d like it to be (much like a Billy Joel concert), but has a few greatest hits that make it worthwhile. 
Kyma specializes in seafood, so that’s mostly what you should order here. There are oysters, crab cakes, and a couple of good crudos, but for an appetizer, we especially like the more-filling grilled octopus. At $24, it’s certainly not cheap, but we’d gladly eat several servings of these little charred octopus medallions. Whatever else you choose, be sure to A) avoid the disappointing pasta and B) get a whole roasted fish. There are a few basic varieties like branzino and red snapper, and they come out perfectly cooked, filleted, and large enough to split with one other person.Due in part to the quality of the fish, Kyma is the sort of place where you’ll pretty much always find a crowd - and that’s half of the appeal. The bar up front is usually packed, the space is lively without being irritatingly loud, and it’s a great night-out option for anyone who no longer has Advil and Gatorade for breakfast on weekend mornings. It’s also pretty spacious, with high ceilings and big white walls decorated with what appear to be Greek artifacts, and overall it feels like something you’d find at a nice but slightly cheesy Mediterranean-themed resort.
If you need a kind of sceney, semi-upscale spot for a last-minute dinner, Kyma will work well. Yes, the non-seafood items are hit-or-miss, and everything costs a little more than it should - but reservations aren’t tough, you don’t have to keep your voice down, and you can have some great food if you order correctly. In other words, it has the potential to be a crowd pleaser, much like that Billy Joel tape you found under your seat on your last road trip."
"
East 75th street
New York, NY 10021
(212) 737-1700
",3.0,Bar Food,2nd Floor Bar & Essen,7.9,"We have mixed feelings toward secret places. On the one hand, we like being able to tell people about places they don’t know about. It’s good for our self-esteem. But we also feel dumb looking for hidden entrances, and the employees at these kinds of places tend to act like they’re doing us a favor by allowing us inside. Fortunately, 2nd Floor Bar & Essen isn’t uptight or difficult to get into, and it earns several bonus points for serving food we’d like to eat daily.
2nd Floor Bar & Essen is a bar from the same people behind 2nd Ave Deli (a classic NYC mini-chain), and it’s located above their location on the Upper East Side. It’s a great spot for drinks and a light meal, and it’s perfect for when you need someplace fun in this neighborhood, but aren’t feeling masochistic enough to go to The Penrose. Seeing as how the lights stay dim and John Mayer occasionally makes a weirdly not-unwelcome appearance on the soundtrack, it’s pretty ideal for date night as well.
To get here, you enter through a door on 75th Street marked with a little neon sign, then head up a flight of stairs to a space that looks like a private club from the 1920s. It has low ceilings and antique light fixtures, and it seems like the kind of place that should have a password, a dress code, and a host who knows your credit score just by looking at you. But it’s laid-back and unpretentious, and it isn’t tough to get a reservation - which is strange, because the food here makes other bars look lazy.The menu is a mix of small plates inspired by Jewish deli classics, like gefilte croquettes, pastrami burgers, and pigs in a blanket that are seasoned like everything bagels. You can also get some creamy deviled eggs topped with pastrami, as well as some excellent blintzes stuffed with shredded duck. But our favorite things here are the meat-heavy sandwiches from the deli downstairs, which are only available during Happy Hour.
As far as we know, this the only semi-hidden bar where you can show up without a reservation, grab a seat, and eat a messy corned beef sandwich while you drink a cocktail with absinthe and Japanese whisky. It’s worth checking out the next time you find yourself between Central Park and the East River, and it’s also a little bit of a secret at the moment. So if you need to impress someone and maybe gain a little self-esteem that’ll come in handy the next time you accidentally drool on yourself at work, suggest 2nd Ave Bar & Essen."
"
495 Lorimer St
New York, NY 11211
(718) 599-1154
",1.0,Middle Eastern,Samesa,8.1,"Casual weeknight dinners are rarely memorable. They’re often afterthoughts, when you feel like a tequila-logged sponge that needs to be wrung out, or you’re busy and want the equivalent of Willy Wonka’s three-course dinner chewing gum (without the side effect of turning into a blueberry). But those quick, sometimes-healthy dinners don’t need to be forgettable. Just get food at Samesa.
Samesa is a counter-service Middle Eastern spot in a part of Williamsburg that hasn’t (yet) been overrun by pet-friendly coworking spaces and apartment buildings with rooftop fire pits, and as a result, it’s one of the few fast-casual options east of the BQE. It’s a tiny space, but they make the most of it, with colorful shelves of random grocery items that make you feel like you could be in Venice Beach. Instead of having smoke blown in your face by someone who has been emulating Spicoli since ’85, though, you’ll be hit by smells of roasting chicken and braising lamb from the open kitchen behind the counter.The whole menu is available every day for lunch and dinner, and whether you order the chicken shawarma, the za’atar roasted salmon, or one of the vegetarian options, you’ll get a lot of very enjoyable food for about $15. All of the mains are available as pitas or platters, and we recommend going with a platter, which comes with rice, a couple different spreads, and a mound of pickled vegetables. There’s nothing on the menu you should avoid, but you should begin your relationship with Samesa with the chicken shawarma - a big pile of tender chicken pieces that are slightly charred and covered in bright, acidic and rich, creamy sauces. 
The food is filling and the portions are large, but Samesa is also healthy enough to make you feel less like one of those waste containers marked with a skull and crossbones after last weekend. The platters are all packed with pickled cauliflower and carrots and other things that grow in the dirt, and the vegetarian options are just as enjoyable as the meat-focused ones. If you want to keep things completely non-animal, start with one of the dips - like the avocado hummus or the spicy matbucha - and then get the platter with balls of gooey mashed zucchini inside crunchy, spice-heavy outer shells. 
While Samesa works for takeout or delivery when your body is telling you that it needs vitamins and drawn blinds, the food actually tastes best when it’s served to-stay, still steaming from the kitchen a few feet away. But whether you eat here or in your apartment as you daydream about your couch having built-in airplane trays, this is a casual, mostly-healthy weeknight meal that you’ll remember."
"
400 W 42nd St
New York, NY 10036
",2.0,Bar Food,The Polynesian,7.8,"If you enjoy hanging out around Times Square, then you should go to The Polynesian as soon as possible. You can skip the rest of this review, and use the extra time to polish your collection of miniature Statue Of Liberty replicas. If, on the other hand, you tend to avoid the video billboards of Old Navy’s new streetwear collection and the tourists in open-topped busses taking pictures of you like you’re an exotic animal on a safari, we still think you should go to The Polynesian. You just need all the details first.
The Polynesian is a tiki-themed cocktail bar from the people behind Carbone and The Grill. It’s located on the third floor of the Pod Hotel in Hell’s Kitchen, and includes four separate indoor areas and a huge outdoor terrace, all of which look like places Jack Sparrow would hang out if he stopped the pirate shenanigans and made a fortune in the shipping industry. Like the other spots from this restaurant group, The Polynesian is both flashy and really enjoyable. And it’s one of our favorite spots for drinks and a light bite in Midtown.This place is primarily a cocktail bar, and while the drinks are expensive - ranging from $17 to $85 for a large format one that serves six people - they’re worth it. They have unusual ingredients like chipotle honey and ube extract, they come in mugs shaped like skulls and treasure chests that you’ll want to smuggle out in your purse, and they’re delicious, which makes it easy to forget that they also have a lot of alcohol in them. On one of our visits, a woman seated near us in the dining room seemed to overlook that fact, at least until she noticed that the flame on top of the drink had set her hair on fire. To her credit (or perhaps as a testament to the effects of absinthe and rum in the same glass), she took it very well and proceeded to finish the three-tiered tower of small plates on her table.On paper, the bar snacks at The Polynesian look similar to dishes you’d get at a Murray Hill rooftop while sharing a couch with the former social chairs of Pi Kappa Alpha’s Georgetown chapter, but the food here is definitely worth snacking on while you drink. The crab rangoon has a thin, flaky shell with filling that’s mostly crab, and the ahi tuna poke is served over seaweed salad that tastes so briny you’ll have flashbacks to swimming face-first into ocean kelp and temporarily freaking out because, you know, the ocean is scary. But the thing that this place does best is actually fries. The crunchy, crinkle-cut fries here are topped with various spices and served with hoisin ketchup, and they belong in any debate about the best fries in the city.
The largest option on the 10-item food menu is a $19 plate of four baby back ribs, so this isn’t the place to have a full dinner. It is a fun rooftop bar to use for snacks and great cocktails when you’re in a part of the city that can make even proud Manhattanites daydream of a brownstone in Park Slope. Get a booth inside and listen to the soundtrack of Supertramp, Pharrell, and Prince with a few coworkers who want a post-work drink stronger than sauvignon blanc, or order something on fire at the outdoor bar when you want to turn things up many notches after date night in the Theater District. Just be sure to mind your hair around the flames."
